M200,M_err,N,N_err,L3,L3_err,z,Ez
0.486560914,0.0985702467,15.805188679245282,0.4577927378358429,28.57002121427567,8.547682331740672,0.275954716981132,1.1503040551535713
0.569698314,0.17661656250000002,16.83805263157895,0.4090597460534743,27.48460376376633,9.059738501047883,0.2617105263157894,1.1412975895415778
0.646963225,0.13976905350000002,18.49029824561404,0.584924317574442,43.69801744989853,18.535490448633553,0.2834754385964911,1.1551122326260115
0.921499305,0.121749157,17.101965,1.3322580282268897,48.58450296285886,17.216922565967447,0.5946715,1.3844002226257226
0.444611249,0.1702722425,20.82992857142857,0.5564124837212193,41.35758515100107,9.647209409718817,0.286,1.1567344106578659
1.16891175,0.232046839,22.562052631578943,0.4778072878800654,61.05666330538988,21.197027306033466,0.2762368421052632,1.1504837659832348
1.07998569,0.24215162950000002,23.926466666666663,0.4642727670489623,60.6661064342356,13.384413740155999,0.2877599999999999,1.1578677370329362
1.27489983,0.278091428,21.15736206896552,0.7521579460476477,68.41932534894285,23.63199365580542,0.5997068965517242,1.3885693404931163
1.32686308,0.352855063,23.585184210526307,0.7458207385371254,135.84748266648347,38.907289728322645,0.606928947368421,1.3945728842136118
0.905420656,0.28200403350000003,25.46785714285713,0.2570455371393663,65.40170058731671,14.181525894479833,0.2282142857142857,1.120639184500366
1.19348221,0.19765424450000002,27.83945161290322,1.183657273193223,65.89785637360296,19.63194306666955,0.2888064516129032,1.158542527453177
1.53620534,0.36571361950000003,27.09210294117647,1.449084428382137,133.17021196257502,56.580517885881356,0.7051485294117648,1.4789631240147532
1.26403283,0.283407647,30.641,0.4107416057166191,80.1363893625843,16.86569067105028,0.2913916666666667,1.1602125816458
1.17048829,0.5219781645,32.19725,0.5125315356151269,103.07301421339366,5.596437696680786,0.3031,1.167829761839156
1.52324161,0.4130454205,33.730375,0.4944287965131365,85.58753675400612,5.58508222633803,0.2466875,1.1319415312679377
1.92203437,0.41020383000000005,30.963000000000005,0.6114309523763165,177.5216429156655,54.041592408644995,0.5968809523809523,1.3862278723796635
1.06149788,0.4070572305,33.28491666666667,0.9023558282300508,158.9558830373135,66.25238127244265,0.7404791666666668,1.5105340817365536
1.64287102,0.388678723,37.85494736842105,1.0649997692869404,126.33012271421501,17.52910937104672,0.5168631578947368,1.3217538452968813
1.94289134,0.545841358,43.720000000000006,1.5402802775252742,125.30771264159166,20.729883568637824,0.2765166666666667,1.1506620621365669
2.52989177,0.5511690605,50.16179999999999,2.1388684093995307,210.39683669391454,39.78571121865596,0.28282,1.1546917454855778
2.79018503,0.723474411,60.43033333333333,2.606913986562145,384.48811155407805,116.38340835421128,0.26,1.1402248900984402
6.36699792,1.308648115,70.03866666666666,2.667349512082705,450.1340009589834,79.14476350978859,0.2338666666666666,1.1240736453735087
5.47206302,0.9234863125,104.30133333333332,3.8221766887468713,789.9042206441222,7.731573647880589,0.3207,1.1794442310778834
2.73425181,0.7006719395000001,44.302818181818175,3.3382629619767497,336.57556263485566,126.72914492654272,0.5612090909090909,1.3570464444195558
6.96845562,1.443383855,59.83180000000001,7.551420065872075,761.1289826380357,195.38086910195486,0.6837,1.4601057860565787
6.96845562,1.443383855,59.83180000000001,7.551420065872075,761.1289826380357,195.38086910195486,0.6837,1.4601057860565787
